atlas_id,name,domain,country,registry_scheme,hubspot_company_id,associated_contacts,registry_entity_id,grade,basis,resolved_by,notes
united-insurance,United Insurance,uuinsurance.com,United States,us-doi-licence,31706853490,1,,,,,
velocity-risk,Velocity Risk,velocityrisk.com,United States,us-doi-licence,31706080082,1,,,,,
vermont-mutual-insurance,Vermont Mutual Insurance Group,vermontmutual.com,United States,us-doi-licence,31725789332,1,,,,,
walkerhughes-insurance,WalkerHughes Insurance,walkerhughes.com,United States,us-doi-licence,31719648837,1,,,,,
wangins,Wangins,wangins.com,United States,us-doi-licence,31729338804,1,,,,,
wawanesa-insurance,Wawanesa Insurance,wawanesa.com,Canada,ca-corp-number,31653230643,1,,,,,
we-insure,We Insure,weinsuregroup.com,United States,us-doi-licence,31702918014,1,,,,,
westan-insurance,Westan Insurance Group,westaninsurance.com,United States,us-doi-licence,31710210174,1,,,,,
xperitus,Xperitus,xperitusinsure.com,India,in-mca-cin,31710210175,1,,,,,
ais-auto-insurance-specialists,AIS (Auto Insurance Specialists),aisinsurance.com,United States,us-doi-licence,55213691250,0,,,,,
associated-insurance-and-risk-management-advisors-associated-advisors,Associated Insurance and Risk Management Advisors / Associated Advisors,assocagencies.com,United States,us-doi-licence,55199784363,0,,,,,
baldwin-risk-partners,Baldwin Risk Partners,baldwinriskpartners.com,United States,us-doi-licence,56313356178,0,,,,,
chubb,Chubb,chubb.com,Switzerland,UNKNOWN,54245695568,0,,,,,
cover-desk,Cover Desk,coverdesk.com,United States,us-doi-licence,55232007531,0,,,,,
embrace-pet-insurance,Embrace Pet Insurance,embracepetinsurance.com,United States,us-doi-licence,55210791521,0,,,,,
estrella-insurance,Estrella Insurance,estrellainsurance.com,United States,us-doi-licence,55206443929,0,,,,,
insurezone,"InsureZone, Inc.",insurezone.com,United States,us-doi-licence,55223287362,0,,,,,
majesco,Majesco,majesco.com,United States,us-doi-licence,53587022715,0,,,,,
marsh-mclennan-agency,Marsh & McLennan Agency,marshmma.com,United States,us-doi-licence,56311653976,0,,,,,
orion180,Orion180,orion180.com,United States,us-doi-licence,55209692544,0,,,,,
policybazaar-uae,Policybazaar UAE,policybazaar.ae,United Arab Emirates,ae-trade-licence,55785024275,0,,,,,
specialty-program,Specialty Program Group,specialtyprogramgroup.com,United States,us-doi-licence,55235542588,0,,,,,
swisslife,SwissLife,swisslife.fr,France,UNKNOWN,52499701909,0,,,,,
uais-insurance-services,UAIS Insurance Services,uaisinsurance.com,United States,us-doi-licence,55232465293,0,,,,,
za-tech,ZA Tech,zatech.com,China,UNKNOWN,53183672697,0,,,,,
